None * 160
BufferLevel with seed=2260421936698767020, obst=0.37414413076580855, slab=0.06598410734256716, stairs=0.022786995788076993, stump=0.10102479387793474, gap=0.08481109700951249, regret=None, learnability=None, succ_r=None
BufferLevel with seed=8955327465008978174, obst=0.42512052712564957, slab=0.0987355212225899, stairs=0.053749949174158686, stump=0.06432053156578826, gap=0.13076824190751643, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5437574204353023738, obst=0.48056548299363155, slab=0.027598525822980703, stairs=0.001983448536468868, stump=0.09608926609050412, gap=0.020198697816830213, regret=0.0370052196085453, learnability=0.1756198347107438, succ_r=0.22727272727272727
BufferLevel with seed=3846684242815780258, obst=0.030718562646875502, slab=0.01076762430593954, stairs=0.00995335190190202, stump=0.026230230253492446, gap=0.03929808494418303, regret=0.03755616024136543, learnability=0.1046484375, succ_r=0.11875
BufferLevel with seed=5396144849701529951, obst=0.4745673917240851, slab=0.060327943611755676, stairs=0.046446242586434684, stump=0.1354804345844777, gap=0.08065474493157283, regret=0.039594218134880066, learnability=0.05216605818811397, succ_r=0.05521472392638037
BufferLevel with seed=1473608334816009971, obst=0.06402807334716948, slab=0.005567440463749108, stairs=0.017385083471861573, stump=0.11018171554549941, gap=0.13516696255993715, regret=0.04071810469031334, learnability=0.22601613282167748, succ_r=0.34513274336283184
BufferLevel with seed=2849120617064859263, obst=0.47254370395014045, slab=0.05954571891972982, stairs=0.029636206138176815, stump=0.04221569056179586, gap=0.1360384119175339, regret=0.043981537222862244, learnability=0.15674969595964144, succ_r=0.19463087248322147
BufferLevel with seed=3846684242815780258, obst=0.030718562646875502, slab=0.021302899121833023, stairs=0.00995335190190202, stump=0.026230230253492446, gap=0.054198493743121676, regret=0.046843815594911575, learnability=0.16620498614958448, succ_r=0.21052631578947367
BufferLevel with seed=1473608334816009971, obst=0.06402807334716948, slab=0.0, stairs=0.03994541278881837, stump=0.11018171554549941, gap=0.13516696255993715, regret=0.047646258026361465, learnability=0.15339663988312638, succ_r=0.1891891891891892
BufferLevel with seed=5396144849701529951, obst=0.4666871222694303, slab=0.06405166689624497, stairs=0.046446242586434684, stump=0.1354804345844777, gap=0.08065474493157283, regret=0.050111234188079834, learnability=0.017851239669421485, succ_r=0.01818181818181818
BufferLevel with seed=5437574204353023738, obst=0.48056548299363155, slab=0.027598525822980703, stairs=0.0, stump=0.09608926609050412, gap=0.03831856549309321, regret=0.050937917083501816, learnability=0.0678167757287329, succ_r=0.07317073170731707
BufferLevel with seed=2849120617064859263, obst=0.4937436336217029, slab=0.05954571891972982, stairs=0.047694893114587814, stump=0.04221569056179586, gap=0.1360384119175339, regret=0.0557340644299984, learnability=0.07939508506616258, succ_r=0.08695652173913043

---------------------------------------

None * 146
BufferLevel with seed=2260421936698767020, obst=0.37414413076580855, slab=0.06598410734256716, stairs=0.022786995788076993, stump=0.10102479387793474, gap=0.08481109700951249, regret=None, learnability=None, succ_r=None
BufferLevel with seed=373839417056488040, obst=0.3384647917034239, slab=0.00577824165101678, stairs=0.06424055923959825, stump=0.012659950347419806, gap=0.10790968564816378, regret=None, learnability=None, succ_r=None
BufferLevel with seed=2869036435672497714, obst=0.4918511072319666, slab=0.043932881816996776, stairs=0.003517995976106825, stump=0.1094576963041058, gap=0.1387199211970809, regret=None, learnability=None, succ_r=None
BufferLevel with seed=6052694746502488919, obst=0.42116605771099397, slab=0.09639761389905113, stairs=0.03386120249702488, stump=0.09359707019827944, gap=0.07913518431063694, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5767819852441694739, obst=0.31471266403927256, slab=0.033662865198716085, stairs=0.03811389001005542, stump=0.12179065049375339, gap=0.08943069431938756, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5937056038019553933, obst=0.22858140892415074, slab=0.06732430283467783, stairs=0.049705873678238865, stump=0.0035843171656390668, gap=0.08245064531463125, regret=None, learnability=None, succ_r=None
BufferLevel with seed=7630742807041038795, obst=0.22285085146878547, slab=0.012610238473872727, stairs=0.023578997885958488, stump=0.02646131340415738, gap=0.04198400434114158, regret=None, learnability=None, succ_r=None
BufferLevel with seed=2808673873672884175, obst=0.45465808802098817, slab=0.011672444635988856, stairs=0.053669458439442, stump=0.07430563003038941, gap=0.08103456183194589, regret=None, learnability=None, succ_r=None
BufferLevel with seed=4784058021022838265, obst=0.08170462398576667, slab=0.04202610504420104, stairs=0.09622350087093809, stump=0.1092005589539182, gap=0.0031582397863575582, regret=None, learnability=None, succ_r=None
BufferLevel with seed=7446571275728416214, obst=0.37249124695659785, slab=0.03030263468832689, stairs=0.027861307362665955, stump=0.04212700646669616, gap=0.13601775711774725, regret=None, learnability=None, succ_r=None
BufferLevel with seed=4743833161910722081, obst=0.23268941276976463, slab=0.018034722222392854, stairs=0.050960544128929544, stump=0.1255541611796526, gap=0.07824499498357988, regret=None, learnability=None, succ_r=None
BufferLevel with seed=3017813946013870244, obst=0.46066134797730973, slab=0.07634424931845146, stairs=0.06551657419103817, stump=0.1168281360558304, gap=0.1420889746939214, regret=None, learnability=None, succ_r=None
BufferLevel with seed=1139283680621353289, obst=0.41872573545907876, slab=0.09785364017652641, stairs=0.006701270077584753, stump=0.05156104447600477, gap=0.14070698484759464, regret=None, learnability=None, succ_r=None
BufferLevel with seed=352877309105513333, obst=0.14880228464908757, slab=0.002109487973952462, stairs=0.0673886067432072, stump=0.058211010540653405, gap=0.11431090548546602, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5390916108542574026, obst=0.038856430822543864, slab=0.08815945922824428, stairs=0.0035203860866399707, stump=0.07580428438078647, gap=0.0033233042446854486, regret=None, learnability=None, succ_r=None
BufferLevel with seed=1918467554968024392, obst=0.08722617916900416, slab=0.023745406619848933, stairs=0.05416371800990632, stump=0.051791622399986546, gap=0.14737326881993196, regret=None, learnability=None, succ_r=None
BufferLevel with seed=6415102967320141884, obst=0.31284883882718906, slab=0.054568931591052944, stairs=0.06704550872466226, stump=0.08043024593082697, gap=0.1399243240605464, regret=None, learnability=None, succ_r=None
BufferLevel with seed=1927236409306337235, obst=0.046306312301305774, slab=0.06959615764798363, stairs=0.08694693352730576, stump=0.007185835202025398, gap=0.1420220648960861, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5677962724143402689, obst=0.14232775031953537, slab=0.09627777838172519, stairs=0.01212439784513849, stump=0.012429296070847761, gap=0.14427165478099013, regret=None, learnability=None, succ_r=None
BufferLevel with seed=6744613900896226458, obst=0.2713285340270771, slab=0.08496353872911028, stairs=0.07616975501592228, stump=0.07412851114344711, gap=0.0017403698806488176, regret=None, learnability=None, succ_r=None
BufferLevel with seed=2815482482657697039, obst=0.03643018885290095, slab=0.07306352993664714, stairs=0.04656642348308542, stump=0.028161998047459377, gap=0.03463506358976277, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5598844051154977856, obst=0.3524608327217308, slab=0.08300995777238324, stairs=0.016613045171838793, stump=0.06832493068956356, gap=0.05121113351304233, regret=None, learnability=None, succ_r=None
BufferLevel with seed=2558975698008913384, obst=0.2885217783998491, slab=0.000774600262841918, stairs=0.09039709327199247, stump=0.05475976134889991, gap=0.11606498692000615, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5878704016752178984, obst=0.07853047875272151, slab=0.05673587954890198, stairs=0.02415049764713023, stump=0.1326664249748265, gap=0.12395319286376968, regret=None, learnability=None, succ_r=None
BufferLevel with seed=621827651779486545, obst=0.016229328522752995, slab=0.03363377527804985, stairs=0.03547263470306255, stump=0.1364815774986855, gap=0.0773204883721209, regret=None, learnability=None, succ_r=None
BufferLevel with seed=2849284870450042971, obst=0.21727433835157722, slab=0.024732052767692414, stairs=0.05175003737849976, stump=0.03872113392783003, gap=0.11651708184490969, regret=None, learnability=None, succ_r=None
BufferLevel with seed=8025971976104094383, obst=0.3022315967285666, slab=0.03255863827560257, stairs=0.0782979300533345, stump=0.04384061370723453, gap=0.01108075818018175, regret=None, learnability=None, succ_r=None
BufferLevel with seed=8979637134730261287, obst=0.4279732558608472, slab=0.024381214157472776, stairs=0.08363891700519265, stump=0.14887772473679992, gap=0.11916949943656568, regret=None, learnability=None, succ_r=None
BufferLevel with seed=1107848853019858629, obst=0.34847382270873906, slab=0.05491475452162828, stairs=0.05066636977154409, stump=0.0040218337069552025, gap=0.04776323915265671, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5031153893246005196, obst=0.29847011889769404, slab=0.06634825350537299, stairs=0.060409226257430365, stump=0.08490349159458845, gap=0.06782947646745266, regret=None, learnability=None, succ_r=None
BufferLevel with seed=7883803853692950160, obst=0.15733705168932266, slab=0.06440495704957869, stairs=0.011809993169997646, stump=0.06820030785100778, gap=0.1403811647288967, regret=None, learnability=None, succ_r=None
BufferLevel with seed=8955327465008978174, obst=0.42512052712564957, slab=0.0987355212225899, stairs=0.053749949174158686, stump=0.06432053156578826, gap=0.13076824190751643, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5437574204353023738, obst=0.48056548299363155, slab=0.027598525822980703, stairs=0.001983448536468868, stump=0.09608926609050412, gap=0.020198697816830213, regret=0.0370052196085453, learnability=0.1756198347107438, succ_r=0.22727272727272727
BufferLevel with seed=3846684242815780258, obst=0.030718562646875502, slab=0.01076762430593954, stairs=0.00995335190190202, stump=0.026230230253492446, gap=0.03929808494418303, regret=0.03755616024136543, learnability=0.1046484375, succ_r=0.11875
BufferLevel with seed=3846684242815780258, obst=0.030718562646875502, slab=0.021302899121833023, stairs=0.00995335190190202, stump=0.026230230253492446, gap=0.054198493743121676, regret=0.03928418084979057, learnability=0.09392623075750647, succ_r=0.10493827160493827
BufferLevel with seed=5396144849701529951, obst=0.4745673917240851, slab=0.060327943611755676, stairs=0.046446242586434684, stump=0.1354804345844777, gap=0.08065474493157283, regret=0.039594218134880066, learnability=0.05216605818811397, succ_r=0.05521472392638037
BufferLevel with seed=6393577476882081170, obst=0.05359493899232198, slab=0.034901003631417994, stairs=0.01074370984198375, stump=0.07381670398269216, gap=0.04320347064941441, regret=0.03980773314833641, learnability=0.06769978538063376, succ_r=0.07303370786516854
BufferLevel with seed=2730038776119122423, obst=0.9907508849190223, slab=0.4131630794511443, stairs=0.3725678423966957, stump=0.7091946113269217, gap=0.5064013001463875, regret=0.03997228667140007, learnability=0.0, succ_r=0.0
BufferLevel with seed=1473608334816009971, obst=0.06402807334716948, slab=0.005567440463749108, stairs=0.017385083471861573, stump=0.11018171554549941, gap=0.13516696255993715, regret=0.04071810469031334, learnability=0.22601613282167748, succ_r=0.34513274336283184
BufferLevel with seed=3846684242815780258, obst=0.030718562646875502, slab=0.01076762430593954, stairs=0.019609090323747524, stump=0.026230230253492446, gap=0.029510447546990656, regret=0.041880276054143906, learnability=0.09291344437834621, succ_r=0.10365853658536585
BufferLevel with seed=7939256847090722501, obst=0.03752838857217389, slab=0.5340180606104155, stairs=0.9817831703109953, stump=0.6831152278143577, gap=0.662358292085587, regret=0.04266771301627159, learnability=0.0, succ_r=0.0
BufferLevel with seed=344255378825933378, obst=0.23861331199736718, slab=0.0633737073174436, stairs=0.08499718544793713, stump=0.11657803388733394, gap=0.04285934216513291, regret=0.04280740022659302, learnability=0.08571128461888589, succ_r=0.09467455621301775
BufferLevel with seed=2733523461471917, obst=0.45628337133702634, slab=0.08487752150803432, stairs=0.013388899186219383, stump=0.10620909014876212, gap=0.09317377517796953, regret=0.043254707008600235, learnability=0.017615475879265617, succ_r=0.017937219730941704
BufferLevel with seed=2849120617064859263, obst=0.47254370395014045, slab=0.05954571891972982, stairs=0.029636206138176815, stump=0.04221569056179586, gap=0.1360384119175339, regret=0.043981537222862244, learnability=0.15674969595964144, succ_r=0.19463087248322147
BufferLevel with seed=4359279891790761946, obst=0.9616063521854806, slab=0.3145892208921932, stairs=0.9130105398425844, stump=0.9149646549823132, gap=0.37850343031190814, regret=0.04660200700163841, learnability=0.0, succ_r=0.0
BufferLevel with seed=3846684242815780258, obst=0.05831289022922233, slab=0.021302899121833023, stairs=0.00995335190190202, stump=0.04844844458569921, gap=0.054198493743121676, regret=0.04666968807578087, learnability=0.12675418741511996, succ_r=0.14893617021276595
BufferLevel with seed=1473608334816009971, obst=0.06402807334716948, slab=0.0, stairs=0.03994541278881837, stump=0.11018171554549941, gap=0.13516696255993715, regret=0.047646258026361465, learnability=0.15339663988312638, succ_r=0.1891891891891892
BufferLevel with seed=2569497556165652826, obst=0.7656585503655188, slab=0.2803099644879591, stairs=0.3464145694211722, stump=0.876707368961719, gap=0.9689643221579131, regret=0.04972435161471367, learnability=0.0, succ_r=0.0
BufferLevel with seed=5396144849701529951, obst=0.4666871222694303, slab=0.06405166689624497, stairs=0.046446242586434684, stump=0.1354804345844777, gap=0.08065474493157283, regret=0.050111234188079834, learnability=0.017851239669421485, succ_r=0.01818181818181818
BufferLevel with seed=5437574204353023738, obst=0.48056548299363155, slab=0.027598525822980703, stairs=0.0, stump=0.09608926609050412, gap=0.03831856549309321, regret=0.050937917083501816, learnability=0.0678167757287329, succ_r=0.07317073170731707
BufferLevel with seed=3846684242815780258, obst=0.030718562646875502, slab=0.03717065185507354, stairs=0.019609090323747524, stump=0.03860251878829048, gap=0.029510447546990656, regret=0.05102880671620369, learnability=0.04338842975206612, succ_r=0.045454545454545456
BufferLevel with seed=344255378825933378, obst=0.23861331199736718, slab=0.0633737073174436, stairs=0.06533131672894565, stump=0.11657803388733394, gap=0.04267760786080067, regret=0.05145393684506416, learnability=0.0384, succ_r=0.04
